main_keyword,base_search_keyword,temp_search_keyword,nv_mid
털실내화,라봉홈 거실화,라봉홈 털실내화 실내슬리퍼 거실화 코듀로이 실내화 니트 패브릭 방한 겨울 거실,83522529851
고양이 스크래쳐,펫토벤 고양이,펫토벤 고양이 웨이브 스크래쳐,87639059313
부추,소박한농부 부추,부추,89777004437
바나나,로깅 바나나,바나나 고당도 바나나 정발 낱발,89154789325
감자,국내산 우리감자,국내산 햇감자 특 2kg 부터 포슬포슬 우리감자 국민간식 땅속의사과,85883663786
